sra_sname	treatment	sex	age	rank	DSI_F	Flow_PC1	Flow_PC2	Flow_PC3	year
AMB_42_LPS	LPS	M	7.60848733744011	4	NA	0.0814798894918078	-2.07836409521573	-1.15073064232189	2016
AMB_42_NULL	NULL	M	7.60848733744011	4	NA	0.0814798894918078	-2.07836409521573	-1.15073064232189	2016
AMB_17_NULL	NULL	F	6.58179329226557	12	0.936014660013445	-0.558736506776387	-0.123753384708359	-0.00789672704667951	2015
AMB_18_NULL	NULL	F	5.36344969199179	5	0.884265919994422	0.583545715222087	-1.02214236173952	1.49435401100228	2015
AMB_19_LPS	LPS	M	5.76317590691307	8	NA	1.58986950125869	-2.05098391888956	2.96398031142599	2015
AMB_35_LPS	LPS	M	7.93429158110883	15	NA	-1.46829555694909	-0.0101303372434552	0.386744460865401	2015
AMB_36_NULL	NULL	F	4.75290896646133	14	1.06477446267533	-2.29615516795003	0.107390879344319	0.0338606896571404	2015
AMB_44_LPS	LPS	M	7.17864476386037	15	NA	-2.41501665253595	-1.36541192277879	-0.432547840251925	2015
AMB_44_NULL	NULL	M	7.17864476386037	15	NA	-2.41501665253595	-1.36541192277879	-0.432547840251925	2015
AMB_45_LPS	LPS	F	5.05407255304586	18	-0.0692080331518367	0.286313236500369	0.577962234536686	0.771145566704259	2015
AMB_45_NULL	NULL	F	5.05407255304586	18	-0.0692080331518367	0.286313236500369	0.577962234536686	0.771145566704259	2015
AMB_58_LPS	LPS	M	5.87542778918549	13	NA	-1.95523620984392	-0.885145920185605	1.29814583189892	2015
AMB_59_LPS	LPS	F	6.34360027378508	8	1.55079118804763	-0.251804796443094	-1.87402084119128	0.687622782579475	2015
AMB_46_LPS	LPS	M	17.0513347022587	6	NA	1.91691462644719	-0.627156025605414	0.190836266520763	2013
AMB_46_NULL	NULL	M	17.0513347022587	6	NA	1.91691462644719	-0.627156025605414	0.190836266520763	2013
AMB_47_LPS	LPS	M	5.63449691991786	7	NA	-2.77019161705018	0.331435538492702	0.385164146029798	2015
AMB_47_NULL	NULL	M	5.63449691991786	7	NA	-2.77019161705018	0.331435538492702	0.385164146029798	2015
AMB_48_LPS	LPS	M	8.10677618069815	1	NA	-1.41132568298219	-1.50544740714365	0.723608908872859	2013
AMB_48_NULL	NULL	M	8.10677618069815	1	NA	-1.41132568298219	-1.50544740714365	0.723608908872859	2013
AMB_49_LPS	LPS	M	8.36413415468857	5	NA	0.368473275381442	-0.66509178871057	-0.389804463352235	2016
AMB_49_NULL	NULL	M	8.36413415468857	5	NA	0.368473275381442	-0.66509178871057	-0.389804463352235	2016
AMB_50_LPS	LPS	F	14.7871321013005	16	1.25052310165626	2.79802600285279	0.621059009401995	-0.105523712880002	2016
AMB_50_NULL	NULL	F	14.7871321013005	16	1.25052310165626	2.79802600285279	0.621059009401995	-0.105523712880002	2016
AMB_51_LPS	LPS	F	18.0588637919233	15	0.221800190613372	1.68255369379254	0.141842223265686	-0.24194351746603	2016
AMB_51_NULL	NULL	F	18.0588637919233	15	0.221800190613372	1.68255369379254	0.141842223265686	-0.24194351746603	2016
AMB_52_LPS	LPS	F	25.3196440793977	10	0.862272764522441	0.289113256773826	0.233831478296593	1.08974430857263	2015
AMB_52_NULL	NULL	F	25.3196440793977	10	0.862272764522441	0.289113256773826	0.233831478296593	1.08974430857263	2015
AMB_53_LPS	LPS	F	10.0150581793292	21	1.09316103439269	0.0194745702863684	1.01379989271958	0.552056209154404	2016
